
2023-09-12T09:12:16.712557+00:00,WINWORD.EXE,Document4 - Word (Product Activation Failed),fasdfsfddsaf
2023-09-12T09:28:14.692993+00:00,WINWORD.EXE,Document4 - Word (Product Activation Failed),
2023-09-15T23:36:01.850291+00:00,Code.exe,main.py - Visual Studio Code,asdfasdfasd
2023-09-15T23:56:08.021725+00:00,Code.exe,main.py - Visual Studio Code,hrffj
2023-09-16T00:02:24.486108+00:00,Code.exe,main.py - Visual Studio Code,asdfasdf
2023-09-16T00:03:28.107404+00:00,Octium.exe,YKS8 - Octium,asdfasdf
2023-09-16T00:05:05.240941+00:00,Code.exe,main.py - Visual Studio Code,asadasd
2023-09-16T00:06:41.427237+00:00,Code.exe,main.py - Visual Studio Code,asdfasfdasdf
2023-09-16T00:08:10.075139+00:00,Code.exe,main.py - Visual Studio Code,asldfjlasdf
2023-09-16T00:08:53.197553+00:00,Octium.exe,YKS8 - Octium,sadfasdf
2023-09-16T00:19:19.973884+00:00,Code.exe,main.py - Visual Studio Code,asfasdfsasadfasdf
2023-09-16T00:24:25.118345+00:00,Code.exe,main.py - Visual Studio Code,asdfasdf
2023-09-16T03:19:29.806313+00:00,Code.exe,main.py - Visual Studio Code,asdffd
2023-09-19T17:12:51.765542+00:00,Code.exe,main.py - Visual Studio Code,ggg
2023-09-19T17:12:57.034196+00:00,Code.exe,main.py - Visual Studio Code,gg
2023-09-19T17:12:58.855200+00:00,Code.exe,main.py - Visual Studio Code,
2023-09-19T17:13:00.069962+00:00,Code.exe,main.py - Visual Studio Code,
2023-09-19T17:13:00.527274+00:00,Code.exe,main.py - Visual Studio Code,
2023-09-19T17:13:00.736097+00:00,Code.exe,main.py - Visual Studio Code,
2023-09-19T17:31:15.915867+00:00,Code.exe,main.py - Visual Studio Code,asdfasdfasdf
2023-09-19T17:31:40.676287+00:00,Octium.exe,YKS8 - Octium,ing sdafsdaf
2023-09-19T18:15:34.442075+00:00,Code.exe,main.py - Visual Studio Code,asdfasdf
2023-09-19T18:19:21.035861+00:00,Code.exe,main.py - Visual Studio Code,ssdfgdfsg
2023-09-19T18:21:17.416382+00:00,Code.exe,main.py - Visual Studio Code,dgdf
2023-09-19T18:24:01.314669+00:00,Code.exe,main.py - Visual Studio Code,ewrter
2023-09-19T18:26:43.156437+00:00,Code.exe,main.py - Visual Studio Code,hdhh
2023-09-19T18:28:31.093906+00:00,Code.exe,main.py - Visual Studio Code,adsfd
2023-09-19T18:37:13.446776+00:00,Code.exe,main.py - Visual Studio Code,asdjf;asdflasdf
2023-09-19T18:39:46.040398+00:00,Code.exe,main.py - Visual Studio Code,ddd
2023-09-19T18:41:06.633744+00:00,Code.exe,main.py - Visual Studio Code,ertert
2023-09-19T18:45:59.986171+00:00,Code.exe,main.py - Visual Studio Code,zsdfsadf
2023-09-19T18:47:35.448171+00:00,Code.exe,main.py - Visual Studio Code,sfsar
2023-09-19T19:10:38.091621+00:00,Code.exe,main.py - Visual Studio Code,fsadfs
2023-09-19T19:11:57.358742+00:00,Code.exe,main.py - Visual Studio Code,333
2023-09-19T19:17:12.758890+00:00,Code.exe,main.py - Visual Studio Code,asfsdfsdf
2023-09-19T19:25:46.097045+00:00,Code.exe,main.py - Visual Studio Code,afafaf
2023-09-19T19:27:35.839385+00:00,Code.exe,main.py - Visual Studio Code,xczxc
2023-09-19T19:37:07.617430+00:00,Code.exe,main.py - Visual Studio Code,"nj,j,"
2023-09-19T19:37:25.294916+00:00,Octium.exe,YKS8 - Octium,an 
2023-09-19T19:39:22.301053+00:00,Code.exe,main.py - Visual Studio Code,gggggg
2023-09-19T19:40:00.990146+00:00,Code.exe,main.py - Visual Studio Code,asdffd
2023-09-19T19:41:44.046946+00:00,Code.exe,main.py - Visual Studio Code,adsfadsf
2023-09-19T19:42:15.276560+00:00,Code.exe,main.py - Visual Studio Code,adfdf
2023-09-19T19:42:21.551267+00:00,python.exe,Code.exe,sdfdf
2023-09-19T19:43:08.956422+00:00,Code.exe,main.py - Visual Studio Code,asfdsf
2023-09-19T19:47:15.346991+00:00,Code.exe,main.py - Visual Studio Code,dsafdsf
2023-09-19T19:52:53.288045+00:00,Code.exe,main.py - Visual Studio Code,asdfadsf
2023-09-19T19:57:36.447239+00:00,Code.exe,main.py - Visual Studio Code,gfggggggggggggg
2023-09-19T20:03:59.712478+00:00,Code.exe,main.py - Visual Studio Code,ff
2023-09-19T20:26:33.126091+00:00,Code.exe,main.py - Visual Studio Code,sfsf
2023-09-19T20:28:19.107023+00:00,Code.exe,main.py - Visual Studio Code,sadfdsf
2023-09-19T20:38:06.253715+00:00,Code.exe,main.py - Visual Studio Code,vfsd
2023-09-19T20:51:16.395649+00:00,Code.exe,main.py - Visual Studio Code,gsdfgsd
2023-09-19T21:01:53.525871+00:00,Code.exe,main.py - Visual Studio Code,asdasd
2023-09-19T21:52:03.645231+00:00,Code.exe,main.py - Visual Studio Code,gg
